Latitude (decimal degrees):	10.702
Longitude (decimal degrees):	122.562
Elevation (m):	9
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20170118:0930,5.42,28.75,3.11,25.82,7.38,0.0
20170118:1030,0.0,0.0,0.0,25.19,6.9,0.0
20170118:1130,0.0,0.0,0.0,24.94,6.55,0.0
20170118:1230,0.0,0.0,0.0,24.87,6.55,0.0
20170118:1330,0.0,0.0,0.0,24.82,6.62,0.0
20170118:1430,0.0,0.0,0.0,24.65,6.55,0.0
20170118:1530,0.0,0.0,0.0,24.55,6.69,0.0
20170118:1630,0.0,0.0,0.0,24.46,6.62,0.0
20170118:1730,0.0,0.0,0.0,24.4,6.34,0.0
20170118:1830,0.0,0.0,0.0,24.45,6.14,0.0
20170118:1930,0.0,0.0,0.0,24.33,6.83,0.0
20170118:2030,0.0,0.0,0.0,24.43,6.55,0.0
20170118:2130,0.0,0.0,0.0,24.42,6.55,0.0
20170118:2230,5.25,22.04,3.18,24.17,6.48,0.0
20170118:2330,54.71,88.5,16.7,24.28,6.34,0.0
20170119:0030,193.38,253.95,29.72,24.69,6.28,0.0
20170119:0130,241.58,309.2,41.75,25.63,7.03,0.0
20170119:0230,422.62,530.15,51.84,26.2,7.72,0.0
20170119:0330,468.74,590.05,58.08,26.88,7.66,0.0
20170119:0430,480.8,605.1,58.1,27.26,7.45,0.0
20170119:0530,404.87,510.45,51.89,27.24,7.1,0.0
20170119:0630,156.56,211.15,41.82,26.75,6.9,0.0
20170119:0730,99.45,141.15,29.79,26.11,6.28,0.0
20170119:0830,36.42,62.2,16.78,25.77,6.34,0.0
20170119:0930,3.67,15.07,3.23,25.63,6.07,0.0
20170119:1030,0.0,0.0,0.0,25.38,5.86,0.0
20170119:1130,0.0,0.0,0.0,25.24,6.0,0.0
20170119:1230,0.0,0.0,0.0,25.13,5.86,0.0
20170119:1330,0.0,0.0,0.0,25.02,6.0,0.0
20170119:1430,0.0,0.0,0.0,24.88,6.14,0.0
20170119:1530,0.0,0.0,0.0,24.73,6.21,0.0
20170119:1630,0.0,0.0,0.0,24.54,6.21,0.0
20170119:1730,0.0,0.0,0.0,24.37,6.28,0.0
20170119:1830,0.0,0.0,0.0,24.13,6.48,0.0
20170119:1930,0.0,0.0,0.0,24.06,7.31,0.0
20170119:2030,0.0,0.0,0.0,23.79,7.24,0.0
20170119:2130,0.0,0.0,0.0,23.64,7.17,0.0
20170119:2230,5.62,29.11,3.15,23.61,7.1,0.0
20170119:2330,142.64,209.1,16.7,23.81,7.1,0.0
20170120:0030,337.07,429.11,29.75,24.52,7.03,0.0
20170120:0130,490.03,610.46,41.82,25.55,8.55,0.0
20170120:0230,524.74,655.31,51.97,26.49,9.17,0.0
20170120:0330,456.3,574.3,58.27,26.85,8.55,0.0
20170120:0430,548.31,690.01,58.32,26.81,8.28,0.0
20170120:0530,512.14,643.06,52.11,27.13,8.21,0.0
20170120:0630,395.81,500.25,42.0,27.22,7.93,0.0
20170120:0730,230.78,300.6,29.95,26.35,8.0,0.0
20170120:0830,95.39,140.05,16.91,25.82,7.03,0.0
20170120:0930,8.23,24.22,3.35,25.58,6.0,0.0
20170120:1030,0.0,0.0,0.0,25.17,5.79,0.0
20170120:1130,0.0,0.0,0.0,24.98,5.86,0.0
20170120:1230,0.0,0.0,0.0,24.76,6.28,0.0
20170120:1330,0.0,0.0,0.0,24.63,6.76,0.0
20170120:1430,0.0,0.0,0.0,24.57,7.03,0.0
20170120:1530,0.0,0.0,0.0,24.6,6.9,0.0
20170120:1630,0.0,0.0,0.0,24.54,6.69,0.0
20170120:1730,0.0,0.0,0.0,24.41,6.69,0.0
20170120:1830,0.0,0.0,0.0,24.48,6.76,0.0
20170120:1930,0.0,0.0,0.0,24.66,6.9,0.0
20170120:2030,0.0,0.0,0.0,24.62,6.97,0.0
20170120:2130,0.0,0.0,0.0,24.64,7.1,0.0
20170120:2230,4.51,22.44,3.13,24.61,7.1,0.0
20170120:2330,119.73,174.25,16.7,24.62,7.24,0.0
20170121:0030,293.43,375.55,29.78,25.22,8.21,0.0
20170121:0130,466.26,580.81,41.9,26.04,9.24,0.0
20170121:0230,497.7,621.26,52.1,26.83,9.31,0.0
20170121:0330,481.08,600.11,58.46,26.78,8.55,0.0
20170121:0430,485.5,608.75,58.55,27.2,8.21,0.0
20170121:0530,448.88,565.95,52.32,27.5,7.66,0.0
20170121:0630,291.97,372.5,42.19,27.17,6.76,0.0
20170121:0730,185.7,246.55,30.11,26.81,7.31,0.0
20170121:0830,86.82,130.35,17.05,26.65,6.48,0.0
20170121:0930,4.08,15.83,3.47,26.15,6.55,0.0
20170121:1030,0.0,0.0,0.0,25.44,6.76,0.0
20170121:1130,0.0,0.0,0.0,24.89,6.07,0.0
20170121:1230,0.0,0.0,0.0,24.75,5.38,0.0
20170121:1330,0.0,0.0,0.0,24.67,5.45,0.0
20170121:1430,0.0,0.0,0.0,24.73,5.45,0.0
20170121:1530,0.0,0.0,0.0,24.82,5.24,0.0
20170121:1630,0.0,0.0,0.0,24.73,5.17,0.0
20170121:1730,0.0,0.0,0.0,24.57,5.31,0.0
20170121:1830,0.0,0.0,0.0,24.42,5.45,0.0
20170121:1930,0.0,0.0,0.0,24.26,5.31,0.0
20170121:2030,0.0,0.0,0.0,24.24,5.45,0.0
20170121:2130,0.0,0.0,0.0,24.23,5.52,0.0
20170121:2230,5.04,21.65,3.11,24.28,5.31,0.0
20170121:2330,105.04,156.5,16.7,24.51,5.1,0.0
20170122:0030,267.76,345.7,29.82,25.25,6.0,0.0
20170122:0130,418.03,526.46,41.98,26.07,6.48,0.0
20170122:0230,551.29,696.11,52.24,26.93,6.48,0.0
20170122:0330,545.23,690.16,58.66,27.83,6.62,0.0
20170122:0430,518.58,654.71,58.79,27.62,6.62,0.0
20170122:0530,499.9,630.81,52.54,27.45,6.28,0.0
20170122:0630,385.16,485.85,42.38,26.72,6.21,0.0
20170122:0730,263.33,341.85,30.27,26.61,5.93,0.0
20170122:0830,101.6,153.6,17.18,26.58,6.34,0.0
20170122:0930,7.43,33.24,3.58,26.16,5.52,0.0
20170122:1030,0.0,0.0,0.0,25.52,5.31,0.0
20170122:1130,0.0,0.0,0.0,24.93,4.76,0.0
20170122:1230,0.0,0.0,0.0,24.69,4.28,0.0
20170122:1330,0.0,0.0,0.0,24.61,4.34,0.0
20170122:1430,0.0,0.0,0.0,24.59,4.28,0.0
20170122:1530,0.0,0.0,0.0,24.63,3.93,0.0
20170122:1630,0.0,0.0,0.0,24.51,3.79,0.0
20170122:1730,0.0,0.0,0.0,24.33,3.93,0.0
20170122:1830,0.0,0.0,0.0,24.25,4.21,0.0
20170122:1930,0.0,0.0,0.0,24.54,4.76,0.0
20170122:2030,0.0,0.0,0.0,24.43,5.1,0.0
20170122:2130,0.0,0.0,0.0,24.39,5.1,0.0
20170122:2230,5.91,28.64,3.09,24.35,4.97,0.0
20170122:2330,131.07,193.2,16.71,24.45,5.03,0.0
20170123:0030,310.05,398.31,29.86,25.18,5.59,0.0
20170123:0130,474.57,596.16,42.06,26.12,6.55,0.0
20170123:0230,620.73,786.16,52.38,27.12,6.83,0.0
20170123:0330,592.09,749.96,58.87,27.84,7.24,0.0
20170123:0430,678.76,867.16,59.03,28.1,7.03,0.0
20170123:0530,540.24,684.31,52.77,28.52,6.97,0.0
20170123:0630,513.04,651.86,42.57,28.43,6.83,0.0
20170123:0730,342.34,442.96,30.43,28.12,6.48,0.0
20170123:0830,166.03,243.25,17.32,27.64,6.62,0.0
20170123:0930,8.29,39.7,3.69,26.97,6.55,0.0
20170123:1030,0.0,0.0,0.0,26.26,6.41,0.0
20170123:1130,0.0,0.0,0.0,25.92,6.28,0.0
20170123:1230,0.0,0.0,0.0,25.61,6.48,0.0
20170123:1330,0.0,0.0,0.0,25.15,6.41,0.0
20170123:1430,0.0,0.0,0.0,24.93,6.41,0.0
20170123:1530,0.0,0.0,0.0,24.8,6.48,0.0
20170123:1630,0.0,0.0,0.0,24.67,6.62,0.0
20170123:1730,0.0,0.0,0.0,24.55,6.76,0.0
20170123:1830,0.0,0.0,0.0,24.54,6.76,0.0
20170123:1930,0.0,0.0,0.0,24.31,6.14,0.0
20170123:2030,0.0,0.0,0.0,24.26,6.14,0.0
20170123:2130,0.0,0.0,0.0,24.2,6.14,0.0
20170123:2230,6.44,29.85,3.08,24.21,6.14,0.0
20170123:2330,142.33,207.05,16.72,24.32,6.14,0.0
20170124:0030,332.25,424.51,29.91,25.06,6.62,0.0
20170124:0130,473.75,592.71,42.15,26.0,7.79,0.0
20170124:0230,598.77,750.21,52.52,26.61,8.55,0.0
20170124:0330,659.98,828.21,59.08,26.8,8.97,0.0
20170124:0430,563.48,704.56,59.27,26.98,9.24,0.0
20170124:0530,567.06,710.01,52.99,27.05,9.1,0.0
20170124:0630,502.75,630.36,42.76,27.22,9.03,0.0
20170124:0730,338.66,434.76,30.59,27.41,8.41,0.0
20170124:0830,141.66,206.45,17.45,27.09,7.86,0.0
20170124:0930,9.7,36.34,3.81,26.49,7.31,0.0
20170124:1030,0.0,0.0,0.0,25.91,7.1,0.0
20170124:1130,0.0,0.0,0.0,25.58,7.17,0.0
20170124:1230,0.0,0.0,0.0,25.45,7.38,0.0
20170124:1330,0.0,0.0,0.0,25.32,7.52,0.0
20170124:1430,0.0,0.0,0.0,25.07,7.52,0.0
20170124:1530,0.0,0.0,0.0,24.8,7.38,0.0
20170124:1630,0.0,0.0,0.0,24.53,7.31,0.0
20170124:1730,0.0,0.0,0.0,24.29,7.24,0.0
20170124:1830,0.0,0.0,0.0,24.16,7.24,0.0
20170124:1930,0.0,0.0,0.0,24.08,7.1,0.0
20170124:2030,0.0,0.0,0.0,23.94,7.17,0.0
20170124:2130,0.0,0.0,0.0,23.89,7.1,0.0
20170124:2230,6.59,31.06,3.07,23.87,6.9,0.0
20170124:2330,153.96,223.45,16.74,24.09,6.9,0.0
20170125:0030,341.03,434.11,29.96,24.76,7.24,0.0
20170125:0130,486.45,605.76,42.24,25.52,8.55,0.0
20170125:0230,569.94,709.96,52.68,26.04,8.83,0.0
20170125:0330,678.71,854.11,59.3,26.5,8.41,0.0
20170125:0430,592.14,741.71,59.52,26.92,8.83,0.0
20170125:0530,559.62,700.26,53.22,26.84,8.62,0.0
20170125:0630,512.74,642.26,42.95,26.82,8.62,0.0
20170125:0730,313.53,401.9,30.75,26.77,8.41,0.0
20170125:0830,153.85,221.55,17.59,26.01,8.0,0.0
20170125:0930,10.88,38.51,3.92,25.46,7.86,0.0
20170125:1030,0.0,0.0,0.0,24.85,7.66,0.0
20170125:1130,0.0,0.0,0.0,24.5,7.66,0.0
20170125:1230,0.0,0.0,0.0,24.36,7.59,0.0
20170125:1330,0.0,0.0,0.0,24.25,7.31,0.0
20170125:1430,0.0,0.0,0.0,24.19,7.17,0.0
20170125:1530,0.0,0.0,0.0,24.08,6.97,0.0
20170125:1630,0.0,0.0,0.0,23.92,6.69,0.0
20170125:1730,0.0,0.0,0.0,23.71,6.48,0.0
20170125:1830,0.0,0.0,0.0,23.6,6.48,0.0
20170125:1930,0.0,0.0,0.0,23.62,6.41,0.0
20170125:2030,0.0,0.0,0.0,23.54,6.41,0.0
20170125:2130,0.0,0.0,0.0,23.44,6.34,0.0
20170125:2230,7.09,31.0,3.07,23.35,6.21,0.0
20170125:2330,154.58,223.7,16.76,23.52,6.14,0.0
20170126:0030,329.63,420.11,30.01,24.37,6.34,0.0
20170126:0130,521.37,652.11,42.34,25.35,7.38,0.0
20170126:0230,633.05,795.31,52.83,26.35,8.0,0.0
20170126:0330,652.96,825.91,59.53,27.11,8.07,0.0
20170126:0430,668.25,846.11,59.78,27.38,7.93,0.0
20170126:0530,589.77,744.56,53.45,27.37,7.59,0.0
20170126:0630,508.81,640.66,43.14,27.08,7.31,0.0
20170126:0730,354.84,455.41,30.9,27.04,6.83,0.0
20170126:0830,161.04,233.2,17.72,26.47,6.55,0.0
20170126:0930,9.34,36.4,4.03,25.82,6.07,0.0
20170126:1030,0.0,0.0,0.0,25.07,5.86,0.0
20170126:1130,0.0,0.0,0.0,24.61,5.79,0.0
20170126:1230,0.0,0.0,0.0,24.34,5.86,0.0
20170126:1330,0.0,0.0,0.0,24.21,5.79,0.0
20170126:1430,0.0,0.0,0.0,24.06,5.72,0.0
20170126:1530,0.0,0.0,0.0,23.94,5.66,0.0
20170126:1630,0.0,0.0,0.0,23.98,5.79,0.0
20170126:1730,0.0,0.0,0.0,23.79,6.0,0.0
20170126:1830,0.0,0.0,0.0,23.59,6.28,0.0
20170126:1930,0.0,0.0,0.0,23.5,6.07,0.0
20170126:2030,0.0,0.0,0.0,23.5,6.14,0.0
20170126:2130,0.0,0.0,0.0,23.41,6.14,0.0
20170126:2230,8.01,26.97,3.06,23.37,6.14,0.0
20170126:2330,137.4,196.75,16.78,23.56,5.93,0.0
20170127:0030,298.43,381.45,30.07,24.35,6.55,0.0
20170127:0130,475.49,594.71,42.44,25.34,7.66,0.0
20170127:0230,534.75,669.81,53.0,26.02,8.14,0.0
20170127:0330,549.1,689.36,59.76,26.41,8.07,0.0
20170127:0430,584.43,736.56,60.04,26.68,8.07,0.0
20170127:0530,508.2,639.1,53.69,26.91,8.21,0.0
20170127:0630,501.96,630.66,43.34,26.94,8.28,0.0
20170127:0730,353.98,453.11,31.06,26.92,7.66,0.0
20170127:0830,167.85,240.95,17.85,26.66,7.59,0.0
20170127:0930,11.89,41.08,4.14,26.15,6.97,0.0
20170127:1030,0.0,0.0,0.0,25.3,6.69,0.0
20170127:1130,0.0,0.0,0.0,24.8,6.48,0.0
20170127:1230,0.0,0.0,0.0,24.59,6.69,0.0
20170127:1330,0.0,0.0,0.0,24.45,6.76,0.0
20170127:1430,0.0,0.0,0.0,24.29,6.76,0.0
20170127:1530,0.0,0.0,0.0,24.13,6.76,0.0
20170127:1630,0.0,0.0,0.0,24.04,6.76,0.0
20170127:1730,0.0,0.0,0.0,23.84,6.48,0.0
20170127:1830,0.0,0.0,0.0,23.65,6.21,0.0
20170127:1930,0.0,0.0,0.0,23.74,6.55,0.0
20170127:2030,0.0,0.0,0.0,23.74,6.41,0.0
20170127:2130,0.0,0.0,0.0,23.69,6.34,0.0
20170127:2230,8.54,27.22,3.07,23.68,6.34,0.0
20170127:2330,89.65,133.45,16.81,23.93,6.41,0.0
20170128:0030,181.63,239.45,30.13,24.57,6.69,0.0
20170128:0130,236.59,304.25,42.55,25.16,8.41,0.0
20170128:0230,254.13,324.65,53.16,25.69,8.28,0.0
20170128:0330,273.94,349.3,60.0,26.07,7.86,0.0
20170128:0430,107.11,150.3,60.31,26.01,7.86,0.0
20170128:0530,124.36,171.2,53.92,25.59,6.69,0.0
20170128:0630,192.65,252.45,43.53,25.44,6.9,0.0
20170128:0730,132.04,180.55,31.22,25.78,6.62,0.0
20170128:0830,76.84,115.4,17.98,25.69,6.14,0.0
20170128:0930,2.2,11.1,4.24,25.54,5.93,0.0
20170128:1030,0.0,0.0,0.0,25.21,5.86,0.0
20170128:1130,0.0,0.0,0.0,25.0,6.0,0.0
20170128:1230,0.0,0.0,0.0,24.87,6.28,0.0
20170128:1330,0.0,0.0,0.0,24.6,6.34,0.0
20170128:1430,0.0,0.0,0.0,24.5,6.48,0.0
20170128:1530,0.0,0.0,0.0,24.46,6.76,0.0
20170128:1630,0.0,0.0,0.0,24.5,6.69,0.0
20170128:1730,0.0,0.0,0.0,24.55,6.34,0.0
20170128:1830,0.0,0.0,0.0,24.61,6.48,0.0
20170128:1930,0.0,0.0,0.0,24.37,6.83,0.0
20170128:2030,0.0,0.0,0.0,24.28,6.55,0.0
20170128:2130,0.0,0.0,0.0,24.4,6.14,0.0
20170128:2230,4.27,15.2,3.07,24.44,6.07,0.0
20170128:2330,59.92,91.45,16.84,24.5,6.14,0.0
20170129:0030,172.67,229.4,30.2,24.9,5.79,0.0
20170129:0130,261.58,336.55,42.66,25.67,6.21,0.0
20170129:0230,457.7,576.85,53.33,26.48,7.1,0.0
20170129:0330,583.42,739.46,60.24,27.18,6.83,0.0
20170129:0430,474.26,601.7,60.58,27.96,6.48,0.0
20170129:0530,420.45,534.6,54.16,27.68,5.86,0.0
20170129:0630,317.94,406.65,43.72,27.45,5.31,0.0
20170129:0730,252.3,329.2,31.38,27.53,6.0,0.0
20170129:0830,75.13,112.6,18.11,27.15,5.52,0.0
20170129:0930,6.9,20.36,4.35,26.61,4.69,0.0
20170129:1030,0.0,0.0,0.0,26.02,4.41,0.0
20170129:1130,0.0,0.0,0.0,25.66,4.55,0.0
20170129:1230,0.0,0.0,0.0,25.38,4.48,0.0
20170129:1330,0.0,0.0,0.0,25.26,4.28,0.0
20170129:1430,0.0,0.0,0.0,25.15,4.07,0.0
20170129:1530,0.0,0.0,0.0,25.07,3.79,0.0
20170129:1630,0.0,0.0,0.0,25.09,3.24,0.0
20170129:1730,0.0,0.0,0.0,24.91,2.97,0.0
20170129:1830,0.0,0.0,0.0,24.77,2.83,0.0
20170129:1930,0.0,0.0,0.0,24.7,2.0,0.0
20170129:2030,0.0,0.0,0.0,24.51,2.14,0.0
20170129:2130,0.0,0.0,0.0,24.31,2.69,0.0
20170129:2230,7.55,27.65,3.08,24.26,2.76,0.0
20170129:2330,126.99,186.45,16.87,24.59,2.76,0.0
20170130:0030,278.42,362.7,30.27,25.76,3.1,0.0
20170130:0130,382.57,490.9,42.77,26.88,2.83,0.0
20170130:0230,458.88,595.4,53.51,27.58,2.14,0.0
20170130:0330,521.8,686.56,60.49,27.94,1.86,0.0
20170130:0430,482.6,637.8,60.85,28.13,1.66,0.0
20170130:0530,508.47,680.16,54.4,28.21,0.9,0.0
20170130:0630,477.88,642.21,43.92,28.47,0.41,0.0
20170130:0730,334.27,445.46,31.53,28.53,0.97,0.0
20170130:0830,129.8,191.25,18.24,28.45,1.93,0.0
20170130:0930,7.76,24.03,4.45,27.59,2.41,0.0
20170130:1030,0.0,0.0,0.0,26.52,2.21,0.0
20170130:1130,0.0,0.0,0.0,25.65,2.21,0.0
20170130:1230,0.0,0.0,0.0,25.41,2.62,0.0
20170130:1330,0.0,0.0,0.0,25.17,2.34,0.0
20170130:1430,0.0,0.0,0.0,24.94,2.07,0.0
20170130:1530,0.0,0.0,0.0,24.8,2.34,0.0
20170130:1630,0.0,0.0,0.0,24.79,2.76,0.0
20170130:1730,0.0,0.0,0.0,24.74,3.1,0.0
20170130:1830,0.0,0.0,0.0,24.55,3.1,0.0
20170130:1930,0.0,0.0,0.0,24.98,3.93,0.0
20170130:2030,0.0,0.0,0.0,24.79,3.59,0.0
20170130:2130,0.0,0.0,0.0,24.54,3.24,0.0
20170130:2230,9.0,26.51,3.1,24.42,3.03,0.0
20170130:2330,101.25,148.2,16.91,24.65,2.9,0.0
20170131:0030,274.82,357.65,30.34,25.52,3.31,0.0
20170131:0130,402.8,515.95,42.89,26.69,3.86,0.0
20170131:0230,461.81,594.3,53.69,27.45,3.86,0.0
20170131:0330,545.23,708.35,60.74,27.95,3.66,0.0
20170131:0430,582.35,758.51,61.13,28.39,3.66,0.0
20170131:0530,521.35,678.36,54.64,28.73,3.45,0.0
20170131:0630,301.95,393.2,44.11,28.93,3.52,0.0
20170131:0730,233.58,307.95,31.69,28.27,4.28,0.0
20170131:0830,123.18,178.85,18.36,27.87,4.21,0.0
20170131:0930,10.34,36.11,4.56,27.11,3.45,0.0
20170131:1030,0.0,0.0,0.0,26.47,3.31,0.0
20170131:1130,0.0,0.0,0.0,25.85,3.59,0.0
20170131:1230,0.0,0.0,0.0,25.57,3.66,0.0
20170131:1330,0.0,0.0,0.0,25.36,3.59,0.0
20170131:1430,0.0,0.0,0.0,25.18,3.38,0.0
20170131:1530,0.0,0.0,0.0,24.92,3.24,0.0
20170131:1630,0.0,0.0,0.0,24.73,3.31,0.0
20170131:1730,0.0,0.0,0.0,24.53,3.45,0.0
20170131:1830,0.0,0.0,0.0,24.44,3.45,0.0
20170131:1930,0.0,0.0,0.0,24.62,3.66,0.0
20170131:2030,0.0,0.0,0.0,24.51,3.66,0.0
20170131:2130,0.0,0.0,0.0,24.52,3.79,0.0
20170131:2230,6.52,27.41,3.11,24.43,3.79,0.0
20170131:2330,123.89,182.8,16.95,24.51,3.59,0.0
20170201:0030,335.59,432.56,30.42,25.43,4.07,0.0
20170201:0130,467.6,592.26,43.02,26.63,4.9,0.0
20170201:0230,452.59,573.15,53.88,27.16,4.76,0.0
20170201:0330,495.02,629.9,61.0,27.37,4.83,0.0
20170201:0430,442.79,561.85,61.41,27.19,4.9,0.0
20170201:0530,472.97,603.7,54.89,27.56,4.41,0.0
20170201:0630,291.59,374.95,44.31,27.71,5.31,0.0
20170201:0730,176.08,234.85,31.84,26.71,5.31,0.0
20170201:0830,28.05,50.75,18.49,26.48,4.83,0.0
20170201:0930,6.82,20.28,4.66,25.83,4.9,0.0
20170201:1030,0.0,0.0,0.0,25.34,4.28,0.0
20170201:1130,0.0,0.0,0.0,24.99,4.34,0.0
20170201:1230,0.0,0.0,0.0,24.85,4.48,0.0
20170201:1330,0.0,0.0,0.0,24.88,4.62,0.0
20170201:1430,0.0,0.0,0.0,24.84,4.76,0.0
20170201:1530,0.0,0.0,0.0,24.67,4.9,0.0
20170201:1630,0.0,0.0,0.0,24.51,5.1,0.0
20170201:1730,0.0,0.0,0.0,24.44,5.1,0.0
20170201:1830,0.0,0.0,0.0,24.5,5.1,0.0
20170201:1930,0.0,0.0,0.0,24.33,4.97,0.0
20170201:2030,0.0,0.0,0.0,24.21,4.83,0.0
20170201:2130,0.0,0.0,0.0,24.05,4.83,0.0
20170201:2230,7.19,31.54,3.13,24.0,4.9,0.0
20170201:2330,155.8,225.3,17.0,24.19,5.1,0.0
20170202:0030,370.18,472.96,30.51,25.14,5.59,0.0
20170202:0130,482.16,606.16,43.14,26.33,6.76,0.0
20170202:0230,609.98,772.56,54.07,27.14,6.83,0.0
20170202:0330,621.54,787.31,61.26,27.89,7.24,0.0
20170202:0430,642.38,815.06,61.7,28.17,7.79,0.0
20170202:0530,559.63,704.91,55.13,28.04,8.0,0.0
20170202:0630,459.64,578.76,44.5,27.94,7.66,0.0
20170202:0730,335.98,430.7,32.0,27.13,7.03,0.0
20170202:0830,153.4,221.4,18.61,27.11,6.97,0.0
20170202:0930,11.64,35.98,4.76,26.54,6.55,0.0
20170202:1030,0.0,0.0,0.0,25.9,6.41,0.0
20170202:1130,0.0,0.0,0.0,25.6,6.34,0.0
20170202:1230,0.0,0.0,0.0,25.47,6.41,0.0
20170202:1330,0.0,0.0,0.0,25.43,6.55,0.0
20170202:1430,0.0,0.0,0.0,25.25,6.48,0.0
20170202:1530,0.0,0.0,0.0,24.96,6.55,0.0
20170202:1630,0.0,0.0,0.0,24.55,6.48,0.0
20170202:1730,0.0,0.0,0.0,24.4,6.83,0.0
20170202:1830,0.0,0.0,0.0,24.37,7.03,0.0
20170202:1930,0.0,0.0,0.0,24.19,6.69,0.0
20170202:2030,0.0,0.0,0.0,24.12,6.55,0.0
20170202:2130,0.0,0.0,0.0,24.18,6.41,0.0
20170202:2230,4.97,22.2,3.16,24.05,6.34,0.0
20170202:2330,127.11,185.6,17.05,24.17,6.62,0.0
20170203:0030,308.05,392.95,30.59,24.63,6.55,0.0
20170203:0130,447.24,557.95,43.28,25.41,7.66,0.0
20170203:0230,601.59,752.66,54.27,26.09,8.34,0.0
20170203:0330,545.32,682.15,61.53,26.55,8.41,0.0
20170203:0430,623.47,781.41,61.99,26.76,8.28,0.0
20170203:0530,422.14,530.4,55.38,27.27,8.0,0.0
20170203:0630,322.87,405.95,44.69,26.79,8.14,0.0
20170203:0730,342.81,438.45,32.15,26.73,6.83,0.0
20170203:0830,145.96,209.65,18.73,26.74,7.17,0.0
20170203:0930,12.3,42.01,4.85,26.35,6.48,0.0
20170203:1030,0.0,0.0,0.0,25.67,6.62,0.0
20170203:1130,0.0,0.0,0.0,25.25,6.69,0.0
20170203:1230,0.0,0.0,0.0,25.09,6.69,0.0
20170203:1330,0.0,0.0,0.0,25.01,6.62,0.0
20170203:1430,0.0,0.0,0.0,24.86,6.41,0.0
20170203:1530,0.0,0.0,0.0,24.63,6.21,0.0
20170203:1630,0.0,0.0,0.0,24.49,6.07,0.0
20170203:1730,0.0,0.0,0.0,24.34,6.07,0.0
20170203:1830,0.0,0.0,0.0,24.13,6.0,0.0
20170203:1930,0.0,0.0,0.0,23.84,6.0,0.0
20170203:2030,0.0,0.0,0.0,23.68,6.28,0.0
20170203:2130,0.0,0.0,0.0,23.53,6.41,0.0
20170203:2230,9.59,25.5,3.19,23.57,6.41,0.0
20170203:2330,112.81,159.65,17.1,23.84,6.28,0.0
20170204:0030,296.05,378.0,30.68,24.4,6.9,0.0
20170204:0130,374.13,470.9,43.41,25.36,8.0,0.0
20170204:0230,505.22,632.8,54.47,25.99,8.48,0.0
20170204:0330,501.02,631.25,61.81,26.54,8.62,0.0
20170204:0430,506.48,641.05,62.29,26.83,8.48,0.0
20170204:0530,417.89,530.75,55.63,27.26,8.34,0.0
20170204:0630,439.55,554.75,44.89,27.28,8.07,0.0
20170204:0730,330.44,423.5,32.3,27.14,7.86,0.0
20170204:0830,127.05,180.85,18.85,26.9,7.45,0.0
20170204:0930,15.05,36.15,4.95,26.17,6.41,0.0
20170204:1030,0.0,0.0,0.0,25.56,6.28,0.0
20170204:1130,0.0,0.0,0.0,25.21,6.28,0.0
20170204:1230,0.0,0.0,0.0,25.05,6.34,0.0
20170204:1330,0.0,0.0,0.0,24.88,6.28,0.0
20170204:1430,0.0,0.0,0.0,24.61,6.07,0.0
20170204:1530,0.0,0.0,0.0,24.5,5.93,0.0
20170204:1630,0.0,0.0,0.0,24.43,5.93,0.0
20170204:1730,0.0,0.0,0.0,24.31,5.79,0.0
20170204:1830,0.0,0.0,0.0,24.15,5.79,0.0
20170204:1930,0.0,0.0,0.0,23.97,5.17,0.0
20170204:2030,0.0,0.0,0.0,23.86,5.1,0.0
20170204:2130,0.0,0.0,0.0,23.73,4.83,0.0
20170204:2230,6.91,29.63,3.22,23.66,4.55,0.0
20170204:2330,133.97,195.2,17.16,23.77,4.55,0.0
20170205:0030,317.04,406.05,30.78,24.64,4.9,0.0
20170205:0130,479.0,601.76,43.55,25.72,6.21,0.0
20170205:0230,557.03,702.96,54.67,26.77,6.9,0.0
20170205:0330,530.12,674.05,62.08,27.61,6.41,0.0
20170205:0430,513.02,651.95,62.59,27.79,6.21,0.0
20170205:0530,510.2,651.4,55.88,27.68,5.93,0.0
20170205:0630,455.06,579.25,45.08,27.92,5.86,0.0
20170205:0730,303.5,392.8,32.45,28.08,5.66,0.0
20170205:0830,176.4,252.6,18.97,27.69,5.1,0.0
20170205:0930,12.69,43.47,5.04,27.19,4.69,0.0
20170205:1030,0.0,0.0,0.0,26.27,4.34,0.0
20170205:1130,0.0,0.0,0.0,25.64,3.93,0.0
20170205:1230,0.0,0.0,0.0,25.16,3.72,0.0
20170205:1330,0.0,0.0,0.0,24.74,3.66,0.0
20170205:1430,0.0,0.0,0.0,24.51,3.79,0.0
20170205:1530,0.0,0.0,0.0,24.34,4.0,0.0
20170205:1630,0.0,0.0,0.0,24.23,4.21,0.0
20170205:1730,0.0,0.0,0.0,24.07,4.21,0.0
20170205:1830,0.0,0.0,0.0,23.86,3.93,0.0
20170205:1930,0.0,0.0,0.0,23.89,3.86,0.0
20170205:2030,0.0,0.0,0.0,23.83,3.66,0.0
20170205:2130,0.0,0.0,0.0,23.8,3.66,0.0
20170205:2230,7.56,31.17,3.26,23.78,3.66,0.0
